id_siniestro,id_poliza,id_asegurado,id_vehiculo,id_conductor,id_proveedor,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,ciudad,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,historial_siniestros_vehiculo,historial_siniestros_conductor,historial_solo_rc_asegurado,tipo_impacto,hora_evento,tercero_identificado,evidencia_camaras,tipo_via,clima,documento_inconsistente,relato_ilogico,narrativa_cluster_id,similitud_narrativa_max,etiqueta_fraude_simulada,perfil_riesgo_generacion,suma_asegurada,deducible,canal_venta,proveedor_en_lista_restrictiva,proveedor_casos_observados_ultimo_anio,ratio_monto_suma_asegurada,score_reglas,score_modelo_simulado,score_final,nivel_riesgo,alertas_activadas,reglas_criticas_activadas,accion_sugerida
SIN-00011,POL-00324,ASEG-00032,VEH-00111,COND-00023,PROV-0016,Vehiculos,Responsabilidad Civil,2025-06-16,2025-06-17,3770,3420,1510,Pago Total,Manta,Manta,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0016,246,119,1,4,2,1,0,Frontal,15,Si,No,Urbana,Neblina,No,No,,0.17,1,normal,23300,250,Sucursal,Si,1,0.1618,21,41.6,66.1,Amarillo Medio,Alta frecuencia de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Proveedor en lista restrictiva simulada,RF-03,Escalar a revision documental y validacion de soportes
SIN-00012,POL-00034,ASEG-00234,VEH-00236,COND-00184,PROV-0023,Vehiculos,Responsabilidad Civil,2023-10-20,2023-10-22,4890,4720,4890,Pago Parcial,Machala,Machala,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0023,96,269,2,1,1,0,1,Frontal,11,No aplica,No,Urbana,Despejado,No,No,,0.36,0,normal,32000,500,Agente,No,1,0.1528,3,12.2,6.2,Verde Bajo,Antecedente de reclamo solo RC,,Continuar flujo normal con controles estandar
SIN-00013,POL-00233,ASEG-00104,,,PROV-0045,Hogar,Incendio,2026-05-12,2026-05-18,21300,15820,17040,Pago Total,Guayaquil Sur,Guayaquil,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0045,196,169,6,2,0,0,1,Volcadura,17,Si,No aplica,Interprovincial,Neblina,Si,No,,0.44,1,medio,100000,150,Sucursal,No,5,0.213,25,40.2,67.8,Amarillo Medio,Frecuencia moderada de reclamos del asegurado | Antecedente de reclamo solo RC | Proveedor recurrente en casos observados | Documentos inconsistentes o fechas no coinciden | Reporte tardio entre 4 y 7 dias,RF-02,Escalar a revision documental y validacion de soportes
SIN-00014,POL-00485,ASEG-00162,VEH-00217,COND-00295,PROV-0026,Vehiculos,Danos Propios,2025-12-18,2025-12-18,2480,2320,1980,Pago Total,Quito Norte,Quito,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0026,181,184,0,1,4,1,0,Posterior,4,Si,No,Parqueadero,Neblina,No,No,,0.48,0,normal,19500,200,Directo Web,No,5,0.1272,11,10.9,11.0,Verde Bajo,Alta frecuencia de reclamos del vehiculo | Proveedor recurrente en casos observados,,Continuar flujo normal con controles estandar
SIN-00015,POL-00165,ASEG-00180,VEH-00339,COND-00308,PROV-0060,Vehiculos,Choque,2023-05-21,2023-05-23,13490,11870,5400,Pago Total,Guayaquil Norte,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0060,106,259,2,0,0,0,0,Posterior,11,No aplica,No,Parqueadero,Neblina,No,Si,,0.57,0,normal,55700,1000,Sucursal,No,0,0.2422,6,20.4,66.7,Amarillo Medio,Relato ilogico frente al tipo de impacto,RF-04,Escalar a revision documental y validacion de soportes
SIN-00016,POL-00356,ASEG-00139,VEH-00047,COND-00321,PROV-0032,Vehiculos,Robo Total,2023-10-06,2023-10-08,24760,33790,9910,Anticipo,Machala,Machala,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0032,161,204,2,1,1,0,0,Robo,22,Si,Si,Parqueadero,Neblina,No,No,,0.11,0,normal,36600,1000,Directo Web,No,2,0.6765,4,8.9,5.7,Verde Bajo,Demora denuncia por robo entre 24 y 48 horas,,Continuar flujo normal con controles estandar
SIN-00017,POL-00118,ASEG-00063,,,PROV-0046,Accidentes Personales,Accidente Personal,2026-04-06,2026-04-06,250,250,250,Reserva,Quito Centro,Quito,El vehiculo fue encontrado con danos al amanecer. No se identifica tercero responsable.,Si,PROV-0046,257,108,0,5,0,0,0,Posterior,9,No,No,Parqueadero,Noche seca,Si,No,,0.18,0,medio,20000,0,Sucursal,No,0,0.0125,18,29.5,64.7,Amarillo Medio,Alta frecuencia de reclamos del asegurado | Documentos inconsistentes o fechas no coinciden,RF-02,Escalar a revision documental y validacion de soportes
SIN-00018,POL-00132,ASEG-00091,VEH-00193,COND-00303,PROV-0013,Vehiculos,Choque,2024-09-20,2024-09-22,7720,8720,0,Liquidado,Santo Domingo,Santo Domingo,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0013,95,270,2,1,1,0,0,Sin impacto,23,Si,No,Parqueadero,Noche seca,No,No,,0.43,0,normal,34000,750,Broker,No,2,0.2271,0,9.1,3.2,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00019,POL-00127,ASEG-00294,,,PROV-0032,Hogar,Dano por Agua,2024-08-28,2024-09-04,2800,3390,1680,Pago Parcial,Guayaquil Norte,Guayaquil,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0032,224,141,7,10,0,0,3,Estacionado,1,Si,No aplica,Urbana,Despejado,No,No,,0.23,0,normal,20000,250,Agente,No,2,0.14,17,22.5,18.9,Verde Bajo,Alta frecuencia de reclamos del asegurado | Frecuencia atipica de reclamos solo RC | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00020,POL-00214,ASEG-00217,VEH-00300,COND-00372,PROV-0003,Vehiculos,Cristales,2025-10-09,2025-10-12,470,390,380,Pago Total,Guayaquil Centro,Guayaquil,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0003,247,118,3,2,1,1,0,Posterior,0,Si,Si,Interprovincial,Lluvia,No,No,,0.39,0,medio,15900,750,Banca Seguros,No,1,0.0296,4,29.1,12.8,Verde Bajo,Frecuencia moderada de reclamos del asegurado,,Continuar flujo normal con controles estandar
SIN-00021,POL-00386,ASEG-00217,VEH-00355,COND-00417,PROV-0058,Vehiculos,Robo Total,2024-06-18,2024-06-20,27950,27520,16770,Reserva,Santo Domingo,Santo Domingo,El conductor reporta perdida de control en curva sin testigos disponibles.,Si,PROV-0058,20,345,2,1,0,0,0,Robo,20,Si,No,Residencial,Neblina,Si,No,,0.08,0,medio,37400,300,Directo Web,No,2,0.7473,18,49.6,58.1,Amarillo Medio,Borde vigencia: siniestro entre dias 11 y 30 | Demora denuncia por robo entre 24 y 48 horas | Documentos inconsistentes o fechas no coinciden,RF-02,Escalar a revision documental y validacion de soportes
SIN-00022,POL-00184,ASEG-00060,,,PROV-0020,Accidentes Personales,Accidente Personal,2025-12-31,2026-01-01,5090,4450,3050,Reserva,Cuenca,Cuenca,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0020,202,163,1,1,0,0,0,Lateral,5,Si,No,Interprovincial,Neblina,No,No,,0.1,0,normal,30000,50,Broker,No,2,0.1697,0,18.1,6.3,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00023,POL-00086,ASEG-00268,VEH-00243,COND-00192,PROV-0037,Vehiculos,Danos Propios,2024-09-06,2024-09-07,2350,2830,2350,Anticipo,Quito Norte,Quito,Choque menor en parqueadero con dano en parachoques. Administracion entrega reporte interno.,Si,PROV-0037,277,88,1,1,0,2,0,Posterior,4,No,Si,Parqueadero,Despejado,No,No,,0.25,0,normal,31200,400,Banca Seguros,No,1,0.0753,4,22.7,10.5,Verde Bajo,Frecuencia moderada de reclamos del conductor,,Continuar flujo normal con controles estandar
SIN-00024,POL-00054,ASEG-00302,VEH-00061,COND-00358,PROV-0009,Vehiculos,Responsabilidad Civil,2025-12-25,2025-12-28,630,600,250,Reserva,Guayaquil Norte,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0009,301,64,3,4,2,1,0,Posterior,2,Si,No,Residencial,Despejado,No,No,,0.09,0,normal,14500,1000,Directo Web,Si,2,0.0434,21,16.0,68.9,Amarillo Medio,Alta frecuencia de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Proveedor en lista restrictiva simulada,RF-03,Escalar a revision documental y validacion de soportes
SIN-00025,POL-00100,ASEG-00302,VEH-00126,COND-00024,PROV-0033,Vehiculos,Choque,2025-01-04,2025-01-06,7170,7830,0,Reserva,Quito Norte,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0033,238,127,2,2,3,1,0,Frontal,13,No,No,Perimetral,Despejado,No,No,,0.5,0,normal,55000,1000,Directo Web,No,9,0.1304,15,11.9,13.9,Verde Bajo,Frecuencia moderada de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Proveedor recurrente en casos observados,,Continuar flujo normal con controles estandar
SIN-00026,POL-00055,ASEG-00101,VEH-00127,COND-00095,PROV-0052,Vehiculos,Gastos Medicos por Accidente,2024-03-28,2024-03-28,2770,3020,1660,Pago Total,Quito Centro,Quito,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0052,130,235,0,0,0,1,0,Posterior,23,Si,Si,Interprovincial,Neblina,No,No,,0.1,0,normal,32800,1000,Directo Web,No,1,0.0845,0,16.2,5.7,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00027,POL-00146,ASEG-00069,VEH-00345,COND-00010,PROV-0024,Vehiculos,Cristales,2025-04-05,2025-04-07,400,320,160,Reserva,Ambato,Ambato,El vehiculo fue robado cerca del cierre de vigencia y se reporta varios dias despues.,No,PROV-0024,30,335,2,0,0,1,0,Multiple,1,Si,Si,Perimetral,Neblina,Si,No,CLON-03,0.77,0,medio,19700,500,Sucursal,No,0,0.0203,30,40.3,56.9,Amarillo Medio,Borde vigencia: siniestro entre dias 11 y 30 | Proveedor recurrente en casos observados | Documentos incompletos | Documentos inconsistentes o fechas no coinciden | Accidente complejo en horario de madrugada | Narrativa con similitud entre 70% y 84%,RF-02,Escalar a revision documental y validacion de soportes
SIN-00028,POL-00215,ASEG-00238,VEH-00384,COND-00115,PROV-0022,Vehiculos,Robo Parcial,2025-01-04,2025-01-04,1790,1830,0,Pago Total,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0022,82,283,0,5,0,1,2,Robo,10,No,No,Interprovincial,Noche lluvia,No,No,,0.48,0,normal,12500,250,Agente,No,2,0.1432,8,20.3,12.3,Verde Bajo,Alta frecuencia de reclamos del asegurado,,Continuar flujo normal con controles estandar
SIN-00029,POL-00006,ASEG-00179,,,PROV-0054,Hogar,Robo Domiciliario,2024-07-12,2024-07-13,10910,12570,0,Pago Parcial,Quito Sur,Quito,Colision posterior a baja velocidad durante trafico pesado. El tercero fue identificado y se adjunta contacto.,No,PROV-0054,119,246,1,0,0,0,0,Estacionado,20,No,No,Interprovincial,Lluvia,No,No,,0.51,0,normal,75000,150,Directo Web,No,0,0.1455,8,27.4,14.8,Verde Bajo,Demora denuncia por robo entre 24 y 48 horas | Documentos incompletos,,Continuar flujo normal con controles estandar
SIN-00030,POL-00238,ASEG-00144,VEH-00034,COND-00183,PROV-0030,Vehiculos,Choque,2026-06-05,2026-06-08,15020,13070,12020,Pago Total,Guayaquil Norte,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0030,238,127,3,4,4,1,1,Posterior,12,No aplica,No,Interprovincial,Despejado,No,No,,0.51,0,normal,47700,500,Banca Seguros,No,0,0.3149,17,20.5,18.2,Verde Bajo,Alta frecuencia de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Antecedente de reclamo solo RC,,Continuar flujo normal con controles estandar
SIN-00031,POL-00379,ASEG-00083,VEH-00153,COND-00113,PROV-0038,Vehiculos,Robo Total,2023-12-16,2023-12-17,4090,4980,2450,Liquidado,Manta,Manta,Ruptura de cristal por objeto en via. Se presenta factura y evidencia fotografica.,Si,PROV-0038,158,207,1,3,2,0,0,Robo,10,Si,No,Residencial,Noche lluvia,No,No,,0.55,0,normal,6200,500,Agente,No,0,0.6597,20,33.7,24.8,Verde Bajo,Demora denuncia por robo entre 24 y 48 horas | Alta frecuencia de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Proveedor recurrente en casos observados,,Continuar flujo normal con controles estandar
SIN-00032,POL-00256,ASEG-00055,VEH-00295,COND-00079,PROV-0009,Vehiculos,Danos Propios,2025-10-14,2025-10-21,4810,3650,0,Pago Total,Quito Centro,Quito,El reclamo incluye factura emitida el mismo dia del evento y documentos entregados parcialmente.,Si,PROV-0009,363,2,7,8,4,1,1,Multiple,17,No aplica,Si,Residencial,Despejado,No,No,,0.3,0,medio,21200,500,Sucursal,Si,2,0.2269,38,41.2,58.3,Amarillo Medio,Borde vigencia: siniestro dentro de ultimos 10 dias | Alta frecuencia de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Antecedente de reclamo solo RC | Proveedor en lista restrictiva simulada | Reporte tardio entre 4 y 7 dias,RF-03,Escalar a revision documental y validacion de soportes
SIN-00033,POL-00104,ASEG-00212,VEH-00190,COND-00202,PROV-0059,Vehiculos,Robo Total,2024-07-30,2024-07-30,32230,36510,32230,Anticipo,Guayaquil Sur,Guayaquil,El asegurado reporta impacto lateral leve en interseccion urbana. Existe parte policial y fotografias del sitio.,Si,PROV-0059,306,59,0,3,1,1,0,Robo,7,No,No,Urbana,Despejado,No,No,,0.28,0,normal,42200,250,Directo Web,No,1,0.7637,13,13.0,13.0,Verde Bajo,Alta frecuencia de reclamos del asegurado | Evento sin tercero identificado ni evidencia de camaras,,Continuar flujo normal con controles estandar
SIN-00034,POL-00510,ASEG-00114,VEH-00303,COND-00413,PROV-0010,Vehiculos,Responsabilidad Civil,2025-07-06,2025-07-07,1490,1730,0,Reserva,Guayaquil Centro,Guayaquil,Accidente en avenida principal durante lluvia. Se adjunta croquis y datos del tercero involucrado.,Si,PROV-0010,137,228,1,9,0,1,2,Estacionado,17,No aplica,Si,Urbana,Neblina,No,No,,0.57,0,normal,14500,250,Banca Seguros,No,0,0.1028,8,10.4,8.8,Verde Bajo,Alta frecuencia de reclamos del asegurado,,Continuar flujo normal con controles estandar
SIN-00035,POL-00202,ASEG-00108,VEH-00417,COND-00304,PROV-0055,Vehiculos,Responsabilidad Civil,2024-12-10,2024-12-13,2040,1990,2040,Pago Total,Santo Domingo,Santo Domingo,Atencion medica por accidente de transito con factura y formulario completo.,Si,PROV-0055,183,182,3,2,7,1,1,Posterior,12,Si,No,Residencial,Neblina,No,No,,0.51,1,normal,30600,750,Directo Web,No,2,0.0667,13,33.3,20.1,Verde Bajo,Frecuencia moderada de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Antecedente de reclamo solo RC,,Continuar flujo normal con controles estandar
SIN-00036,POL-00082,ASEG-00176,VEH-00169,COND-00342,PROV-0054,Vehiculos,Responsabilidad Civil,2023-05-02,2023-05-02,6470,6150,0,Pago Total,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0054,87,278,0,3,3,0,1,Posterior,17,Si,Si,Residencial,Despejado,No,No,,0.48,0,normal,30300,750,Banca Seguros,No,0,0.2135,17,22.0,18.7,Verde Bajo,Alta frecuencia de reclamos del asegurado | Alta frecuencia de reclamos del vehiculo | Antecedente de reclamo solo RC,,Continuar flujo normal con controles estandar
SIN-00037,POL-00253,ASEG-00229,VEH-00409,COND-00291,PROV-0017,Vehiculos,Choque,2024-06-23,2024-06-26,8390,9670,5030,Pago Parcial,Quito Centro,Quito,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0017,170,195,3,0,0,1,0,Estacionado,21,No,No aplica,Interprovincial,Despejado,No,No,,0.4,0,normal,32600,500,Sucursal,No,0,0.2574,0,19.7,6.9,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00038,POL-00073,ASEG-00274,VEH-00133,COND-00443,PROV-0052,Vehiculos,Gastos Medicos por Accidente,2026-01-25,2026-01-25,2290,2320,1370,Pago Total,Guayaquil Centro,Guayaquil,El asegurado indica que fue impactado al salir de un parqueadero y el tercero abandono el lugar.,Si,PROV-0052,141,224,0,3,2,2,0,Multiple,5,No,Si,Residencial,Despejado,No,No,,0.08,0,medio,12700,300,Broker,No,1,0.1803,15,31.6,20.8,Verde Bajo,Alta frecuencia de reclamos del asegurado | Frecuencia moderada de reclamos del vehiculo | Frecuencia moderada de reclamos del conductor,,Continuar flujo normal con controles estandar
SIN-00039,POL-00075,ASEG-00290,VEH-00079,COND-00449,PROV-0022,Vehiculos,Choque,2024-03-04,2024-03-05,8490,6750,5090,Pago Total,Quito Norte,Quito,Me chocaron saliendo del parqueadero y el otro vehiculo huyo sin dejar datos.,No,PROV-0022,51,314,1,0,0,0,0,Frontal,15,Si,No,Urbana,Neblina,Si,No,CLON-01,0.8,0,medio,18500,750,Sucursal,No,2,0.4589,18,30.0,67.3,Amarillo Medio,Documentos incompletos | Documentos inconsistentes o fechas no coinciden | Narrativa con similitud entre 70% y 84%,RF-02,Escalar a revision documental y validacion de soportes
SIN-00040,POL-00102,ASEG-00245,,,PROV-0005,Hogar,Incendio,2024-09-19,2024-09-24,1910,1900,1910,Pago Total,Quito Centro,Quito,El asegurado indica que fue impactado al salir de un parqueadero y el tercero abandono el lugar.,Si,PROV-0005,75,290,5,4,0,0,1,Sin impacto,16,Si,No,Perimetral,Noche seca,No,No,,0.14,0,medio,20000,250,Banca Seguros,No,2,0.0955,14,39.7,23.0,Verde Bajo,Alta frecuencia de reclamos del asegurado | Antecedente de reclamo solo RC | Reporte tardio entre 4 y 7 dias,,Continuar flujo normal con controles estandar
SIN-00041,POL-00370,ASEG-00270,VEH-00272,COND-00262,PROV-0049,Vehiculos,Robo Total,2024-01-02,2024-01-07,59560,48600,0,Pago Parcial,Guayaquil Centro,Guayaquil,En la madrugada encontre el vehiculo golpeado y no existen camaras disponibles.,No,PROV-0049,15,350,5,1,1,0,0,Robo,1,Si,Si,Parqueadero,Lluvia,No,No,CLON-02,0.87,1,alto,55900,300,Sucursal,No,5,1.0655,37,71.6,56.4,Amarillo Medio,Borde vigencia: siniestro entre dias 11 y 30 | Demora denuncia por robo mayor a 48 horas | Proveedor recurrente en casos observados | Documentos incompletos | Reporte tardio entre 4 y 7 dias | Narrativa con similitud mayor a 85% frente a otro reclamo | Monto reclamado alto frente a suma asegurada o estimado,RF-06 | RF-07,Escalar a revision documental y validacion de soportes
SIN-00042,POL-00417,ASEG-00073,VEH-00335,COND-00281,PROV-0008,Vehiculos,Choque,2025-04-12,2025-04-15,3070,3570,1840,Pago Parcial,Guayaquil Sur,Guayaquil,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0008,160,205,3,0,1,1,0,Posterior,23,No,No aplica,Interprovincial,Noche seca,No,No,,0.53,0,normal,9400,250,Agente,No,1,0.3266,0,0.9,0.3,Verde Bajo,Sin alertas relevantes,,Continuar flujo normal con controles estandar
SIN-00043,POL-00290,ASEG-00248,,,PROV-0034,Generales,Dano por Agua,2024-07-01,2024-07-03,6970,8600,4180,Reserva,Guayaquil Centro,Guayaquil,Robo parcial de accesorios durante la noche. Se presenta denuncia y detalle de bienes afectados.,Si,PROV-0034,290,75,2,2,0,0,0,Posterior,11,No,Si,Perimetral,Noche seca,No,Si,,0.51,0,normal,25000,250,Directo Web,No,2,0.2788,10,23.8,73.3,Amarillo Medio,Frecuencia moderada de reclamos del asegurado | Relato ilogico frente al tipo de impacto,RF-04,Escalar a revision documental y validacion de soportes
